Name,Player Name,Team,Country,Age,Position,Picture Url,Appearances,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
AHMAD FAHD,AHMAD FAHD ALCHOIR,PERSITA,INDONESIA,22,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21180007.png,3,0,4,0,0,0,0,0,2,3,0,1,0,0,4,0,52,0,0,0,1,0,0
BADRIAN,MUHAMMAD BADRIAN ILHAM,PERSITA,INDONESIA,23,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21092583.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZALNANDO,ZALNANDO,PERSITA,INDONESIA,29,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE6079.png,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
IGOR,IGOR CARREIRA RODRIGUES,PERSITA,PORTUGAL,30,P. GAWANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE24266113.png,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,70,0,9,0,0,0,1
ADRIANO,ANDRIANO SAPUTRA,PERSITA,INDONESIA,21,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21156237.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIN YEONG,SIN YEONG BAE,PERSITA,KOREA REPUBLIC,33,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21258286.png,4,0,0,0,0,0,3,0,1,2,3,3,0,0,10,0,82,0,0,0,0,0,0
RACIC,DEJAN RACIC,PERSITA,MONTENEGRO,27,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25075953.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. JARDEL,MARIO JARDEL,PERSITA,INDONESIA,25,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1714586182.png,3,0,1,1,0,13,0,0,0,0,7,1,0,6,7,0,114,0,0,1,0,4,0
R. PAMUNGKAS,RAFI PAMUNGKAS,PERSITA,INDONESIA,20,P. GAWANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE23283909.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVES,MATHEUS ALVES LEANDRO,PERSITA,BRAZIL,32,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25051720.png,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0
CARAKA,HOKKY CARAKA BINTANG BRILLIANT,PERSITA,INDONESIA,21,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21054825.png,3,0,0,0,0,1,0,0,1,5,5,0,0,0,0,0,0,0,0,2,2,3,0
